"Incident Number","Incident Types","Reported Date","Nearest Populated Centre","Province","Company","Status","Latitude","Longitude","Approximate Volume Released (m3)","Substance","Release Type","Significant","Year","Occurrence Date and Time","Discovered Date and Time","Detailed what happened","What happened category","Detailed why it happened","Why it happened category","Duration of interruption of pipeline operations","Pipeline or Facility Type","Activity being performed at time of incident","How the incident was discovered","Closed Date","Pipeline or facility equipment involved","Rupture","Incident type","Released substance type","Released volume (m3)","Pipe body release","Residual effects on the environment","Source of Explosion","Source of Fire","Activity at time of fatality","Number of fatalities","Type of Injury","Number of individuals injured","Workdays lost","Work restricted by injury","Conditions that resulted in the operation beyond  limits","Conditions that resulted in adverse effects on the environment","Number of people evacuated","Regulation","Pipeline Name","Pipeline outside diameter (NPS)","Pipeline length (km)","Substance carried","Facility Name","Facility Type","Facility latitude","Facility longitude","Country","Affects Company Property","Off Company Property","Affects Pipeline right-of-way","Affects off Pipeline right-of-way","Land Use","Population Density","Kilometre post","Emergency Level","Investigation Type","Was NEB Staff Deployed","Related NEB event number","Equipment or component involved","Design standard","Nominal pipe size","Material","Material grade","Schedule","Design wall thickness (mm)","Custom design wall thickness (mm)","Actual wall thickness (mm)","Licensed maximum operating pressure (kPa)","Restricted operating pressure (kPa)","Actual operating pressure at time of failure (kPa)","Designed depth of cover (m)","Actual depth of cover (m)","Year of manufacture","Year of installation","Year when put into service","Most recent cathodic protection reading at incident site (mV vs. Cu/CuSO4)","Weld type ","Seam type","Seam joining method","Seam clock position","Coating location","Coating type","Coating condition","Application method","Year when the coating was applied","Insulation installed","Repair type","Repair date","Equipment or component has never been inspected","Most recent inspection date for the failed equipment or component","Type of most recent inspection","Most recent inspection part of the routine inspection program","No maintenance done on this equipment or component","Date of the most recent maintenance work for the failed equipment or component","Most recent maintenance Type","Most recent maintenance work part of the routine maintenance program"
"INC2020-111","Operation Beyond Design Limits","10/15/2020","Jarvie","Alberta","NOVA Gas Transmission Ltd.","Closed","54.41865000","-113.85170100","Not Applicable","Not Applicable","Not Applicable","No","2020","","2020/10/14 03:30:00 PM Mountain","Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion","Natural Force Damage","External Interference, Natural or Environmental Forces","Natural or Environmental Forces","No pipeline interruption","Transmission","Operation","Employee / Contractor (Onsite)","2021/03/31","Yes","No","Operation Beyond Design Limits","","","","No","","","","","","","","","Exposure on Land","","0","OPR","REDWATER LATERAL - NPS 10","273.10000000","145.42156093","Natural Gas","","","","","Canada","No","Yes","Yes","No","Agricultural Cropland","10 or fewer dwelling units","72.9","Not Emergency","Inactive Investigation Level in Error","No","","Pipeline, Pipe, Body","","NPS 10","","359 - X52","","3.9 mm = 0.154 in","","","8320.0000","4807.0000","","0.6100","","","1974","","","","","","","","Extruded Polyethylene","","","","No","","","No","2020-06-19","Inline Inspection (ILI)","Yes","Yes","","","No"
"INC2020-112","Operation Beyond Design Limits","10/19/2020","Swan Lake","Manitoba","Enbridge Southern Lights GP Inc. on behalf of Enbridge Southern Lights LP","Closed","49.40767000","-98.83013000","Not Applicable","Not Applicable","Not Applicable","No","2020","","2020/10/17 02:00:00 PM Central","Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion;Substandard Conditions, Inadequate guards or barriers","External Interference, Natural Force Damage","Job or system factors, Inadequate engineering, Inadequate or improper controls;External Interference, Natural or Environmental Forces","Engineering and Planning, Natural or Environmental Forces","No pipeline interruption","Transmission","Operation","Employee / Contractor (Onsite)","2021/03/31","Yes","No","Operation Beyond Design Limits","","","","No","","","","","","","","","Exposed Pipe","","0","OPR","Line 13","508.00000000","1240.94139047","NGL-LVP (Condensate)","","","","","Canada","No","Yes","Yes","No","Agricultural Cropland","10 or fewer dwelling units","1139.75","Not Emergency","Inactive Investigation Level in Error","No","","Pipeline, Pipe, Body","","NPS 16","Carbon Steel","317 - X46","","7.9 mm = 0.311 in","","8.1000","8363.7300","5327.2300","","1.0000","","1950","1950","1950","-850.0000","Long Seam (Longitudinal)","Straight","Electric Resistance Welded","10 o'clock","External","Coal Tar Enamel Narrow","Intact","Field Applied","1950","Yes","","","No","","","No","No","","","No"
"INC2020-113","Serious Injury (CER or TSB)","10/25/2020","Edmonton","Alberta","Trans Mountain Pipeline ULC","Closed","53.45780200","-113.52760800","Not Applicable","Not Applicable","Not Applicable","Yes","2020","2020/10/24 10:30:00 AM Mountain","2020/10/24 10:30:00 AM Mountain","Substandard Acts, Failing to use PPE properly;Substandard Acts, Failure to identify hazard or risk","Incorrect Operation","Job or system factors, Inadequate work standards, Inadequate monitoring of compliance ","Standards and Procedures","No pipeline interruption","Transmission","Construction","Employee / Contractor (Onsite)","2020/12/11","No","No","Serious Injury (CER or TSB)","","","","No","","","","","Fracture","1","","Yes","","","0","OPR","TRANS MOUNTAIN EXPANSION PROJECT","762.00000000, 914.00000000","946.15915477","Crude Oil","","","","","Canada","No","Yes","No","No","Water / Wetlands","10 or fewer dwelling units","Whitemud Creek, SF 27A","Not Emergency","Inactive Investigation Level in Error","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2020-114","Serious Injury (CER or TSB)","10/26/2020","Edmonton, Alberta ","Alberta","Trans Mountain Pipeline ULC","Closed","53.43003900","-113.56638100","Not Applicable","Not Applicable","Not Applicable","Yes","2020","2020/10/25 09:00:00 PM Mountain","2020/10/25 09:00:00 PM Mountain","Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Congestion or restricted action;Substandard Conditions, Poor housekeeping or disorder","External Interference, Incorrect Operation","Personal factors, Lack of knowledge, Lack of situational awareness;Job or system factors, Inadequate engineering, Inadequate consideration of human factors or ergonomics","Engineering and Planning, Human Factors","No pipeline interruption","Transmission","Construction","Employee / Contractor (Onsite)","2020/11/20","No","No","Serious Injury (CER or TSB)","","","","No","","","","","Lost Consciousness","1","","Yes","","","1","OPR","TRANS MOUNTAIN EXPANSION PROJECT","762.00000000, 914.00000000","946.15915477","Crude Oil","EDMONTON","","53.54290845","-113.36445011","Canada","No","No","No","No","Developed Land - Industrial","10 or fewer dwelling units","KP 28+480","Not Emergency","Inactive Investigation Level in Error","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2020-115","Fatality","10/27/2020","Edmonton","Alberta","Trans Mountain Pipeline ULC","Closed","53.47400000","-113.65000000","Not Applicable","Not Applicable","Not Applicable","Yes","2020","2020/10/27 02:25:00 PM Mountain","2020/10/27 02:25:00 PM Mountain","Substandard Acts, Improper position for task;Substandard Acts, Using equipment improperly;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Acts, Failure to identify hazard or risk;Substandard Acts, Failure to check or monitor;Substandard Acts, Failure to communicate or coordinate","Incorrect Operation","Personal factors, Lack of knowledge, Lack of experience;Personal factors, Lack of knowledge, Inadequate initial training;Personal factors, Lack of skill, Inadequate initial instruction;Personal factors, Lack of skill, Lack of coaching;Personal factors, Improper motivation, Improper supervisory example;Job or system factors, Inadequate leadership and/or supervision, Unclear or conflicting assignment of responsibility;Job or system factors, Inadequate leadership and/or supervision, Improper or insufficient delegation;Job or system factors, Inadequate leadership and/or supervision, Giving inadequate policy, procedure, practices or guidelines;Job or system factors, Inadequate leadership and/or supervision, Inadequate identification and evaluation of loss exposures;Job or system factors, Inadequate leadership and/or supervision, Lack of supervisory or management job knowledge;Job or system factors, Inadequate leadership and/or supervision, Inadequate performance measurement and evaluation;Job or system factors, Inadequate purchasing, Inadequate communication of safety and health data;Job or system factors, Inadequate tools and equipment, Inadequate standards or specifications;Job or system factors, Inadequate work standards, Inadequate monitoring of compliance ;Job or system factors, Inadequate communications, Inadequate vertical communication between supervisor and person;Job or system factors, Inadequate communications, Inadequate communication between work groups ;Job or system factors, Inadequate work standards, Inadequate development of standards, Inventory and evaluation of exposures and needs;Job or system factors, Inadequate work standards, Inadequate communication of standards, Distribution;Job or system factors, Inadequate work standards, Inadequate communication of standards, Training;Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Failure in communication, Human Factors, Inadequate Procurement, Inadequate Supervision, Standards and Procedures, Tools and Equipment","No pipeline interruption","Transmission","Construction","Employee / Contractor (Onsite)","2021/07/20","No","No","Fatality","","","","No","","","Construction","1","","","","","","","0","OPR","TRANS MOUNTAIN EXPANSION PROJECT","762.00000000, 914.00000000","946.15915477","Crude Oil","","Meter","","","Canada","No","No","No","No","Developed Land - Residential","46 or more dwelling units, facilities, or institutions, or a combination of such structures intended for human occupancy from which rapid evacuation can be difficult (e.g., hospitals, nursing homes)","","Not Emergency","Inactive Investigation Level in Error","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2020-116","Operation Beyond Design Limits","10/29/2020","Constance Indian Reserve No. 92","Ontario","TransCanada PipeLines Limited","Closed","49.76879800","-85.21890000","Not Applicable","Not Applicable","Not Applicable","No","2020","","2020/10/28 02:54:00 PM Mountain","Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion","Natural Force Damage","External Interference, Natural or Environmental Forces","Natural or Environmental Forces","No pipeline interruption","Transmission","Operation","Employee / Contractor (Onsite)","2021/04/16","Yes","No","Operation Beyond Design Limits","","","","No","","","","","","","","","Exposure in a Waterbody","","0","OPR","LINE 100-3","1066.80000000, 762.00000000, 863.60000000, 914.40000000","2681.81132018","Natural Gas","","","","","Canada","No","No","Yes","No","Forests","10 or fewer dwelling units","85-3 + 09.43","Not Emergency","Inactive Investigation Level in Error","No","","Pipeline, Pipe, Body","","NPS 42","Carbon Steel","483 - X70","","","10.60","","6895.0000","","","1.1000","","","1992","","","","","","","","Fusion Bonded Epoxy (FBE)","Intact","","","No","","","No","2020-10-28","Visual","Yes","No","","","No"
"INC2020-117","Operation Beyond Design Limits","10/30/2020","Rolla, BC","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","55.88363892","-120.21457605","Not Applicable","Not Applicable","Not Applicable","No","2020","","2020/10/29 04:10:00 PM Pacific","Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion","Natural Force Damage","External Interference, Natural or Environmental Forces","Natural or Environmental Forces","No pipeline interruption","Transmission","Operation","Inspection Site Visit","2021/02/26","Yes","No","Operation Beyond Design Limits","","","","No","","","","","","","","","Exposure in a Waterbody","","0","OPR","8"" Dawson Creek Pipeline","219.10000000","8.59318982","Natural Gas Sweet","","","","","Canada","No","No","Yes","No","Water / Wetlands","10 or fewer dwelling units","1.65","Not Emergency","Inactive Investigation Level in Error","No","","Pipeline, Pipe, Body","API 5LX 1957","NPS 8","Carbon Steel","290 - X42","40","4.8 mm = 0.188 in","","4.8000","6426.0000","","","1.2000","0.0000","1958","1958","1958","2020.0000","Long Seam (Longitudinal)","Seamless","Electric Resistance Welded","12 o'clock","External","Polyethylene Tape Wrap","Disbonded","Field Applied","1958","No","","","No","2020-06-16","Visual","Yes","No","","","No"
"INC2020-118","Release of Substance","10/30/2020","Edmundston","New Brunswick","Twin Rivers Paper Company Inc.","Closed","47.36140600","-68.32849800","1.5000","Water","Miscellaneous","No","2020","2020/10/30 09:15:00 AM Atlantic","2020/10/30 09:18:00 AM Atlantic","Damage or deterioration mechanism, Equipment, Gasket/O-ring","Equipment Failure","Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring","Maintenance","Short-term interruption","Distribution","Operation","3rd Party / Other Company","2021/04/14","Yes","No","Release of Substance","Water","1.5000","No","No","","","","","","","","","","","0","OPR","GROUNDWOOD WHITE WATER RETURN","508.00000000","1.91159091","White Water","","Meter","","","Canada","No","Yes","No","Yes","Developed Land - Industrial","10 or fewer dwelling units","","Not Emergency","Inactive Investigation Level in Error","No","","Pipeline, Fitting, Other (please explain);Pipeline, Auxiliary device(s) (please explain)","","NPS 20","Stainless Steel","","","","","","","","","","","","","","","","","","","","","","","","No","","","Yes","","","No","Yes","","","No"
"INC2020-119","Operation Beyond Design Limits","11/01/2020","Savona","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","50.85966001","-120.96151970","Not Applicable","Not Applicable","Not Applicable","No","2020","","2020/10/31 03:00:00 PM Pacific","Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion","Natural Force Damage","External Interference, Natural or Environmental Forces","Natural or Environmental Forces","No pipeline interruption","Transmission","Operation","Inspection Site Visit","2021/04/14","Yes","No","Operation Beyond Design Limits","","","","No","","","","","","","","","Exposure in a Waterbody","","0","OPR","SPECTRA - 36"" LOOP","508.00000000, 762.00000000, 914.40000000","1105.13746004","Natural Gas","","","","","Canada","No","No","Yes","No","Water / Wetlands","10 or fewer dwelling units","85.84","Not Emergency","Inactive Investigation Level in Error","No","","Pipeline, Pipe, Body","CSA Z184-68","NPS 36","Carbon Steel","414 - X60","60","9.9 mm = 0.390 in","","9.9000","6453.0000","","","1.2000","0.0000","1972","1972","1972","","Long Seam (Longitudinal)","Straight","Double Submerged Arc Welding","12 o'clock","External","Polyethylene Tape Wrap","Intact","Field Applied","1972","No","","","No","2020-06-12","Visual","Yes","Yes","","","No"
"INC2020-122","Fire","11/05/2020","North Westover","Ontario","Enbridge Pipelines Inc.","Closed","43.32856593","-80.09097967","Not Applicable","Not Applicable","Not Applicable","No","2020","2020/10/30 10:00:00 AM Eastern","2020/10/30 10:00:00 AM Eastern","Substandard Conditions, Defective tools, equipment or materials","External Interference","Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks;Job or system factors, Excessive wear and tear, Improper extension of service life","Maintenance, Tools and Equipment","No pipeline interruption","Transmission","Operation","Employee / Contractor (Onsite)","2021/02/02","Yes","No","Fire","","","","No","","Equipment & Electrical","","","","","","","","","0","OPR","Line 11","508.00000000","80.77962110","Crude Oil","WESTOVER","","43.32856593","-80.09097967","Canada","Yes","No","No","No","Developed Land - Industrial","10 or fewer dwelling units","","Not Emergency","Inactive Investigation Level in Error","No","","Station/Facility, Pumping, Pump","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2020-123","Fire","11/07/2020","Wabasca","Alberta","NOVA Gas Transmission Ltd.","Closed","56.48610421","-114.11750799","Not Applicable","Not Applicable","Not Applicable","No","2020","2020/11/06 05:30:00 PM Mountain","2020/11/06 05:30:00 PM Mountain","Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Fire and explosion hazards","External Interference, Incorrect Operation","Personal factors, Inadequate physical or physiological capability, Restricted range of body movement;Job or system factors, Inadequate maintenance, Inadequate preventive, Cleaning or resurfacing","Human Factors, Maintenance","No pipeline interruption","Transmission","Operation","Employee / Contractor (Onsite)","2021/02/23","Yes","No","Fire","","","","No","","Equipment & Electrical","","","","","","","","","0","OPR","PEERLESS LAKE LATERAL (VANDERSTEENE LAKE SECTION) - NPS 16","406.40000000","40.29355321","Natural Gas","WOODENHOUSE","","56.48610421","-114.11750799","Canada","Yes","No","No","No","Forests","10 or fewer dwelling units","N/A","Not Emergency","Inactive Investigation Level in Error","No","INC2020-127","Station/Facility, Compression, Compressor","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2020-124","Fire","11/10/2020","Burnaby ","British Columbia","Trans Mountain Pipeline ULC","Closed","49.26848937","-122.93134198","Not Applicable","Not Applicable","Not Applicable","No","2020","2020/11/10 02:30:00 PM Pacific","2020/11/10 02:30:00 PM Pacific","Substandard Conditions, Defective tools, equipment or materials;Damage or deterioration mechanism, Electrical Power System Failure, Electrical Fault","Equipment Failure, External Interference","Job or system factors, Inadequate maintenance, Inadequate reparative, Examination of units","Maintenance","","Gathering","Construction","Employee / Contractor (Onsite)","2021/04/20","No","No","Fire","","","","No","","Equipment & Electrical","","","","","","","","","0","OPR","SUNCOR TO BURNABY TERMINAL - NPS 20","508.00000000","4.60740781","Crude Oil","BURNABY","","49.26848937","-122.93134198","Canada","No","No","No","No","Barren Land","11 to 45 dwelling units","","Not Emergency","Inactive Investigation Level in Error","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2020-125","Operation Beyond Design Limits","11/13/2020","North Bay ","Ontario","TransCanada PipeLines Limited","Closed","46.87656000","-79.81508000","Not Applicable","Not Applicable","Not Applicable","No","2020","","2020/11/13 02:24:00 PM Eastern","Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion","Natural Force Damage","External Interference, Natural or Environmental Forces","Natural or Environmental Forces","No pipeline interruption","Transmission","Operation","Employee / Contractor (Onsite)","2021/06/14","Yes","No","Operation Beyond Design Limits","","","","No","","","","","","","","","Exposed Pipe","","0","OPR","LINE 100-1","508.00000000, 762.00000000, 863.60000000","2595.72453402","Natural Gas","","","","","Canada","No","No","Yes","No","Forests","10 or fewer dwelling units"," MLV 111A 8+6.50","Not Emergency","Inactive Investigation Level in Error","No","","Pipeline, Pipe, Body","","NPS 30","Carbon Steel","359 - X52","","12.7 mm = 0.500 in","","","6895.0000","","","0.6000","0.0000","","1958","","","","","","","","Asphalt Mastic","Intact","","","No","","","No","2020-04-18","Inline Inspection (ILI)","Yes","No","","","No"
"INC2020-126","Fire","11/17/2020","Grande Prairie","Alberta","NOVA Gas Transmission Ltd.","Closed","54.48310727","-118.09993252","Not Applicable","Not Applicable","Not Applicable","No","2020","2020/11/15 08:15:00 AM Mountain","2020/11/15 11:00:00 AM Mountain","Damage or deterioration mechanism, Electrical Power System Failure, Arc Flash;Damage or deterioration mechanism, Electrical Power System Failure, Electrical Fault","Equipment Failure","Job or system factors, Excessive wear and tear, Inadequate maintenance;Job or system factors, Inadequate communications, Inadequate communication methods ","Failure in communication, Maintenance","No pipeline interruption","Transmission","Operation","Employee / Contractor (Onsite)","2021/02/26","Yes","No","Fire","","","","No","","Equipment & Electrical","","","","","","","","","0","OPR","GRANDE PRAIRIE MAINLINE","273.10000000, 406.40000000, 508.00000000, 610.00000000, 914.00000000","339.62640950","Natural Gas","LATORNELL","","54.48310727","-118.09993252","Canada","Yes","No","No","No","Forests","10 or fewer dwelling units","N/A","Not Emergency","Inactive Investigation Level in Error","No","","Station/Facility, Compression, Electrical power system apparatus","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","2016-04-10","Testing of Functionality","Yes"
"INC2020-127","Release of Substance","11/17/2020","Wabasca AB","Alberta","NOVA Gas Transmission Ltd.","Closed","56.48610421","-114.11750799","11.0000","Lube Oil","Liquid","No","2020","","2020/11/04 07:00:00 AM Mountain","Substandard Acts, Failure to follow procedure or policy or practice","Incorrect Operation","Job or system factors, Inadequate leadership and/or supervision, Inadequate work planning or programming;Personal factors, Abuse or misuse, Improper conduct that is not condoned, Unintentional","Human Factors, Inadequate Supervision","No pipeline interruption","Transmission","Maintenance","Employee / Contractor (Onsite)","2021/04/16","Yes","No","Release of Substance","Lube Oil","11.0000","No","No","","","","","","","","","","","0","OPR","PEERLESS LAKE LATERAL (VANDERSTEENE LAKE SECTION) - NPS 16","406.40000000","40.29355321","Natural Gas","WOODENHOUSE","","56.48610421","-114.11750799","Canada","Yes","No","No","No","Forests","10 or fewer dwelling units","","Not Emergency","Inactive Investigation Level in Error","No","INC2020-123","Station/Facility, Compression, Compressor;Station/Facility, Compression, Prime mover","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","2020-11-03","Replacement","No"
"INC2020-131","Release of Substance","11/22/2020","Wonowon, BC","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","56.95427194","-121.92025121","15069.0000","Natural Gas - Sweet","Gas","Yes","2020","2020/11/21 08:53:00 PM Mountain","2020/11/21 08:53:00 PM Pacific","Damage or deterioration mechanism, Other Causes, Improper Operation","Incorrect Operation","Personal factors, Lack of knowledge, Misunderstood directions","Human Factors","No pipeline interruption","Transmission","Operation","3rd Party / Other Company","2021/02/19","Yes","No","Release of Substance","Natural Gas - Sweet","15069.0000","No","No","","","","","","","","","","","0","OPR","12"" AITKEN CREEK PIPELINE","323.90000000","31.57378117","Natural Gas Sweet","","","","","Canada","Yes","No","No","No","Developed Land - Industrial","10 or fewer dwelling units","","Not Emergency","Inactive Investigation Level in Error","No","","Station/Facility, Metering, Delivering, Flange, Body","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","2020-10-01","Visual","Yes","No","2020-10-01","Replacement","Yes"
"INC2020-133","Fire","11/25/2020","Hereford Hills","Quebec","Trans Québec and Maritimes Pipeline Inc.","Closed","45.03339107","-71.50002623","Not Applicable","Not Applicable","Not Applicable","No","2020","","2020/11/24 10:00:00 AM Eastern","Substandard Conditions, Defective tools, equipment or materials;Substandard Conditions, Fire and explosion hazards","External Interference","Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria","Engineering and Planning","No pipeline interruption","Transmission","Operation","Inspection Site Visit","2021/04/07","Yes","No","Fire","","","","No","","Equipment & Electrical","","","","","","","","","0","OPR","MAINLINE - LOOP","762.00000000","3.74081126","Natural Gas","EAST HEREFORD","","45.03339107","-71.50002623","Canada","Yes","No","No","No","Agricultural Cropland","10 or fewer dwelling units","","Not Emergency","Inactive Investigation Level in Error","No","","Station/Facility, Compression, Auxiliary power unit","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2020-138","Serious Injury (CER or TSB)","12/15/2020","Burnaby ","British Columbia","Trans Mountain Pipeline ULC","Closed","49.26848937","-122.93134198","Not Applicable","Not Applicable","Not Applicable","Yes","2020","2020/12/15 03:20:00 PM Pacific","2020/12/15 03:20:00 PM Pacific","Substandard Acts, Improper position for task;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Acts, Failure to communicate or coordinate;Substandard Conditions, Inadequate preparation or planning","External Interference, Incorrect Operation","Job or system factors, Inadequate communications, Inadequate vertical communication between supervisor and person;Job or system factors, Inadequate communications, Inadequate communication between different organizations;Personal factors, Abuse or misuse, Improper conduct that is not condoned, Intentional","Failure in communication, Human Factors","No pipeline interruption","Gathering","Construction","Employee / Contractor (Onsite)","2021/04/08","No","No","Serious Injury (CER or TSB)","","","","No","","","","","Fracture","1","","No","","","0","OPR","TRANS MOUNTAIN EXPANSION PROJECT","762.00000000, 914.00000000","946.15915477","Crude Oil","BURNABY","","49.26848937","-122.93134198","Canada","No","No","No","No","Developed Land - Residential","11 to 45 dwelling units","","Not Emergency","Inactive Investigation Level in Error","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2020-139","Serious Injury (CER or TSB)","12/30/2020","Sherwood Park, Alberta","Alberta","Enbridge Pipelines Inc.","Closed","53.54740268","-113.35571374","Not Applicable","Not Applicable","Not Applicable","Yes","2020","2020/12/09 06:30:00 AM Mountain","2020/12/09 06:30:00 AM Mountain","Substandard Acts, Failure to identify hazard or risk","Incorrect Operation","Personal factors, Lack of knowledge, Lack of situational awareness;Job or system factors, Inadequate leadership and/or supervision, Giving inadequate policy, procedure, practices or guidelines","Human Factors, Inadequate Supervision","No pipeline interruption","Transmission","Operation","Employee / Contractor (Onsite)","2021/04/09","No","No","Serious Injury (CER or TSB)","","","","No","","","","","Fracture","1","1","Yes","","","0","OPR","UNKNOWN","0.00000000","0.62084520","Crude Oil","EDMONTON TERMINAL","","53.54740268","-113.35571374","Canada","No","No","No","No","Developed Land - Industrial","10 or fewer dwelling units","","Not Emergency","Inactive Investigation Level in Error","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2021-001","Release of Substance","01/04/2021","Edmundston, N.B.","New Brunswick","Twin Rivers Paper Company Inc.","Closed","47.36249000","-68.32499000","309.0000","Produced Water","Miscellaneous","No","2021","2021/01/03 02:00:00 PM Atlantic","2021/01/03 06:23:00 PM Atlantic","Damage or deterioration mechanism, Cracking, Stress Corrosion Cracking;Damage or deterioration mechanism, Other Causes, Improper Operation;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Acts, Failure to check or monitor","Corrosion and Cracking, Incorrect Operation","Job or system factors, Inadequate communications, Inadequate horizontal communication between peers","Failure in communication","Short-term interruption","Distribution","Operation","Public","2021/06/16","Yes","Yes","Release of Substance","Produced Water","309.0000","Yes","Yes","","","","","","","","","","","0","PPR","GROUNDWOOD STOCK LINE","508.00000000","1.92327587","Effluent (By-products), Mechanical Pulp Slurry","","","","","Canada","No","No","Yes","No","Developed Land - Industrial","10 or fewer dwelling units","","Not Emergency","Inactive Investigation Level in Error","No","DPR2021-001, INC2021-042, INC2021-044, REM2021-001","Pipeline, Pipe, Body","","NPS 20","Stainless Steel","","","","","","403.5000","","475.0000","","","","1988","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2021-002","Operation Beyond Design Limits","01/13/2021","Wonowon","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","56.50792755","-122.12875185","Not Applicable","Not Applicable","Not Applicable","No","2021","","2021/01/12 06:00:00 PM Mountain","Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion","Natural Force Damage","External Interference, Natural or Environmental Forces","Natural or Environmental Forces","No pipeline interruption","Transmission","Operation","Inspection Site Visit","2021/06/16","Yes","No","Operation Beyond Design Limits","","","","No","","","","","","","","","Exposed Pipe","","0","OPR","SPECTRA - 30"" MAINLINE","168.30000000, 762.00000000","1274.36411701","Natural Gas, Natural Gas Sweet","","","","","Canada","No","No","Yes","No","Water / Wetlands","10 or fewer dwelling units","39.91","Not Emergency","Inactive Investigation Level in Error","No","","Pipeline, Pipe, Body","APL5L-1963","NPS 30","Carbon Steel","","40","12.7 mm = 0.500 in","","","6453.0000","","","0.6000","0.0000","1964","1964","1964","","","","","","","Asphalt Mastic","","Field Applied","1964","No","","","No","2021-01-12","Visual","Yes","Yes","","","No"
"INC2021-003","Operation Beyond Design Limits","01/14/2021","Anzac, AB","Alberta","NOVA Gas Transmission Ltd.","Closed","56.43230900","-111.30469600","Not Applicable","Not Applicable","Not Applicable","No","2021","","2021/01/13 02:30:00 PM Mountain","Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion","Natural Force Damage","External Interference, Natural or Environmental Forces","Natural or Environmental Forces","No pipeline interruption","Transmission","Operation","Employee / Contractor (Onsite)","2021/07/05","Yes","No","Operation Beyond Design Limits","","","","No","","","","","","","","","Exposed Pipe","","0","OPR","GREGOIRE LATERAL (NPS 6 1974)","168.00000000","23.15696839","Natural Gas","","","","","Canada","Yes","Yes","Yes","No","Shrub Land","10 or fewer dwelling units","N/A","Not Emergency","Inactive Investigation Level in Error","No","","Pipeline, Pipe, Body","","NPS 6","Carbon Steel","290 - X42","","3.2 mm = 0.126 in","","","4500.0000","","","0.6100","","","1974","","","","","","","","Extruded Polyethylene","","","","No","","","No","2020-11-24","Visual","Yes","No","","","No"
